date,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
9-Jun-2018,7603.44,7683.98,7450,7491.73,19339.89,2018-06-09 23:59:59.999000 UTC,147171153.4,278971,10653.46212,81075317.68
10-Jun-2018,7491.73,7491.73,6622.81,6764.99,52342.02,2018-06-10 23:59:59.999000 UTC,367338754.6,471088,25976.24667,182618941.8
11-Jun-2018,6765,6922,6610,6872,34552.16,2018-06-11 23:59:59.999000 UTC,233056682.9,203442,18716.66706,126255580.9
12-Jun-2018,6872,6890.51,6435,6530,36722.21,2018-06-12 23:59:59.999000 UTC,245787800.8,224658,19299.73551,129341138
13-Jun-2018,6530,6627.6,6118.68,6292.78,46185.52,2018-06-13 23:59:59.999000 UTC,295395681.7,266517,25367.24336,162375277.4
14-Jun-2018,6292.78,6720,6260,6635.98,44478.13,2018-06-14 23:59:59.999000 UTC,289074808.8,256384,23838.21857,154927680.5
15-Jun-2018,6638.67,6666.66,6362.31,6388.9,30018.33,2018-06-15 23:59:59.999000 UTC,196192096.2,184938,16192.45245,105856682.8
16-Jun-2018,6380.01,6560,6320.86,6483.98,22277.24,2018-06-16 23:59:59.999000 UTC,143760033.7,140470,12750.63578,82290350.54
17-Jun-2018,6482.5,6589.03,6422,6449.61,19847.25,2018-06-17 23:59:59.999000 UTC,129120718.8,129759,11208.65693,72949865.16
18-Jun-2018,6444.06,6794.38,6380,6712.46,31821.43,2018-06-18 23:59:59.999000 UTC,208570444,180773,17674.59269,115843959.8
19-Jun-2018,6711.39,6841.74,6653,6741.21,24311.42,2018-06-19 23:59:59.999000 UTC,163420093.8,160490,12849.74066,86385611.99
20-Jun-2018,6740,6817.23,6551.81,6761.51,26359.75,2018-06-20 23:59:59.999000 UTC,175935335.7,166074,13647.93353,91142872.89
21-Jun-2018,6763.21,6795,6672.57,6718.84,25428.85,2018-06-21 23:59:59.999000 UTC,171149859.2,159783,15152.49627,101995867.7
22-Jun-2018,6717.69,6733.97,5918.94,6045,52157.37,2018-06-22 23:59:59.999000 UTC,327460666.9,300515,25336.72044,158994318.3
23-Jun-2018,6045.92,6260,6008.48,6149.98,26622.79,2018-06-23 23:59:59.999000 UTC,162755765.9,170164,15110.7414,92413061.16
24-Jun-2018,6149.98,6259.8,5750,6136.97,47446,2018-06-24 23:59:59.999000 UTC,284095336.1,275996,25966.41725,155558130.9
25-Jun-2018,6137.95,6350,6061.97,6252,39164.52,2018-06-25 23:59:59.999000 UTC,242859915.8,218384,21986.05738,136305270
26-Jun-2018,6252,6272.54,6035,6070.78,19377.24,2018-06-26 23:59:59.999000 UTC,119676555.6,113431,9824.659592,60710073.42
27-Jun-2018,6065.89,6190.43,5971,6133.73,19225.67,2018-06-27 23:59:59.999000 UTC,117103011.8,99481,10381.01414,63236432.02
28-Jun-2018,6134.73,6173.01,5827,5853.98,30585.27,2018-06-28 23:59:59.999000 UTC,185247010.9,156241,16422.37816,99598694.74
29-Jun-2018,5851.01,6300,5780,6197.92,33911.29,2018-06-29 23:59:59.999000 UTC,201409363.9,212542,18727.19213,111291346.3
30-Jun-2018,6197.92,6528.99,6186.03,6390.07,37919.61,2018-06-30 23:59:59.999000 UTC,241568568,230915,20036.02573,127666717.4
1-Jul-2018,6391.08,6441.06,6251,6356.81,27562.97,2018-07-01 23:59:59.999000 UTC,175096501.5,183060,15580.03385,98972791.71
2-Jul-2018,6360.82,6685,6271.62,6615.29,36230.45,2018-07-02 23:59:59.999000 UTC,235524330.7,242589,18966.91091,123205676.2
3-Jul-2018,6615.29,6679.35,6463.01,6513.86,38657.78,2018-07-03 23:59:59.999000 UTC,254550438.1,232914,20503.6254,135047837.8
4-Jul-2018,6511.01,6784.92,6441.11,6586.98,23571.89,2018-07-04 23:59:59.999000 UTC,156277884.3,146203,12244.07091,81263604.86
5-Jul-2018,6585.53,6712,6453.33,6529.2,35071.97,2018-07-05 23:59:59.999000 UTC,230809190.3,216533,19214.7807,126481460
6-Jul-2018,6529.2,6648.54,6425,6609.78,29397.09,2018-07-06 23:59:59.999000 UTC,192230903.7,193854,16292.94516,106560209.1
7-Jul-2018,6609.79,6818.16,6508.88,6756.98,23973.88,2018-07-07 23:59:59.999000 UTC,158034155.2,145449,12894.82358,85004234.48
8-Jul-2018,6753.48,6780,6667.44,6712.1,24622.95,2018-07-08 23:59:59.999000 UTC,165941351.8,145349,13146.63264,88613261.77
9-Jul-2018,6712.1,6802.06,6612.24,6662.12,26732.41,2018-07-09 23:59:59.999000 UTC,179250573.7,147315,14384.13548,96490394.64
